metric_name,n_question_variants,n_records,example_questions
fte_count,17,137,"2. How many full time employees does your organisation currently have? ||| April 2024: How many employees (Full time employees) does your organisation currently have? ||| Depois de concluir o programa, quantos funcionários em período integral sua organização possuía, em maio de 2023? ||| Full-time employees ||| How many employees (Full time employees) does your organisation currently have? ||| How many employees do you currently have? (Clearly state those who are full-time, part-time, and contractual) ||| How many full time employees does your organisation currently have? ||| Quantos funcionários em período integral sua organização tem atualmente em outubro de 2023? ||| Quantos funcionários em período integral sua organização teve no início do programa acelerador em outubro de 2022? ||| September 2023: How many employees (Full time employees) did your organisation have?"
beneficiaries_reached,16,130,"April 2024: If your customers are not your beneficiaries, how many beneficiaries does your company reach today? (# of farmers, # of artisans, # of leaders etc) ||| Beneficiary Baseline: If your customers are not your beneficiaries, how many beneficiaries does your company reach today (# of farmers, # of artisans, # of leaders etc.)? ||| How many beneficiaries does your company reach as of October 2024? (# of farmers, # of artisans, # of leaders etc) ||| How many beneficiaries is your organisation currently reaching? ||| How many beneficiaries is your organisation currently reaching?  ||| How many people has your organisation reached one year ago (approx. October 2024) ||| How many people have you impacted as of May 2025 (cumulative impact number)? ||| If your customers are not your beneficiaries, how many beneficiaries does your company reach today? (# of farmers, # of artisans, # of leaders etc) ||| Primary targetted stakeholder- If your customers are not your beneficiaries, how many beneficiaries does your company reach? (May 2023) ||| Primary targetted stakeholder- If your customers are not your beneficiaries, how many beneficiaries does your company reach? (October 2022)"
funding_total,15,121,"1. What is the total amount of funding your initiative has received since the start of the Aurelia Propel Programme? Report the total in USD.  ||| Amount Raising ||| April 2024: What funding size do you currently have for your initiative? Please include all internal and external funds. ||| Funding Baseline: What funding size do you currently have for your initiative? Please include all internal & external funds. ||| Funding baseline: What funding size do you currently have for your initiative? (October 2023) ||| Funding baseline: What funding size do you have for your initiative? (May 2023) ||| Funding baseline: What funding size do you have for your initiative? (October 2022) ||| Que tamanho de financiamento você tem atualmente para sua iniciativa, em outubro de 2023? ||| Que tamanho de financiamento você tem atualmente para sua iniciativa? Inclua todos os fundos internos e externos. ||| Que tamanho de financiamento você teve para sua iniciativa após a conclusão do programa Acelerator em maio de 2023?"
business_perf_rating,12,112,1.12 How much has the Aurelia prize influenced your business performance? ||| 1.12 How much has the accelerator influenced your business performance since the program concluded? ||| 1.13 How much has your overall business performance changed since you commenced the accelerator? ||| 1.13 How much has your overall business performance changed since you received the Aurelia prize? ||| 6. How much has your overall business performance changed since you commenced the Accelerator? ||| 6. How much has your overall business performance changed since you commenced the accelerator? ||| How much has the Aurelia Propel programme influenced your business performance this far? ||| How much has your overall business performance changed since you commenced the Accelerator? ||| How much has your overall business performance changed since you commenced the accelerator? ||| How would you rate your current business performance? 
customer_count,10,83,"3.  How many customers do you currently serve? ||| April 2024: How many customers do you currently serve? (Employees in your organisation/customers externally on the market)? ||| Customer Baseline: How many customers do you currently serve (employees in your organization/customers externally on the market)? ||| How many customers do you currently serve (customers externally on the market)? ||| How many customers do you currently serve? ||| How many customers do you currently serve?(customers externally in the market) ||| Linha de base do cliente- Logo após o término do programa Accelerator em abril, quantos clientes você atendeu em maio de 2023? ||| Linha de base do cliente-6 meses após a conclusão do programa, quantos clientes você atende atualmente, em outubro de 2023? ||| Linha final do cliente-12 meses após a conclusão do programa, quantos clientes você atende atualmente, em abril 2024?? ||| September 2023: How many customers did you serve? (Employees in your organisation/customers externally on the market)?"
monthly_revenue,8,115,"Please enter your average monthly revenues in USD (year 2022/23). This is not ARR. ||| Please enter your average monthly revenues in USD (year 2023/24). This is not ARR ||| Please enter your average monthly revenues in USD (year 2023/24). This is not ARR. ||| Please enter your average monthly revenues in USD (year 2024/25). This is not ARR. ||| Revenue Baseline: Please enter your average monthly revenues in EUR (year 2021). Note: This is not ARR. ||| Revenue baseline: Please enter your average monthly revenues in USD (year 2022/23). This is not ARR. ||| What is your average monthly revenue? (in USD)  ||| What is your monthly recurring revenue (average, last 6 months) in USD "
health_hygiene_impact,6,52,4. Impact: Number of people that experience positive changes in their day-to-day lives e.g. by changing their behavior in a positive way or getting improved access to health and hygiene services (e.g. they wash their hands more frequently) ||| 4. Impact: Number of people that experience positive changes in their day-to-day lives e.g. by changing their behavior in a positive way or getting improved access to health and hygiene services as of May 2025 ||| 4. Impact: Number of people that experience positive changes in their day-to-day lives e.g. by changing their behavior in a positive way or getting improved access to health and hygiene services as of October 2024? ||| 4. Impact: Number of people that experience positive changes in their day-to-day lives e.g. by changing their behavior in a positive way or getting improved access to health and hygiene services as of October 2025 ||| 4. Impact: Number of people that experience positive changes in their day-to-day lives e.g. by changing their behavior in a positive way or getting improved access to health and hygiene services? ||| 4. Impact: Number of people that experience positive changes in their day-to-day lives e.g. by changing their behavior or getting improved access to health and hygiene services (e.g. they wash their hands more frequently) as of October 2024
health_hygiene_informed,6,54,1. Inform: How many people have received educational health & hygiene messaging through your brands e.g. by watching educational video content? ||| Inform: How many people have received educational health & hygiene messaging through your brands e.g. by watching educational video content as of October 2024 ||| Inform: How many people have received educational health & hygiene messaging through your brands e.g. by watching educational video content as of October 2024? ||| Inform: How many people have received educational health & hygiene messaging through your brands e.g. by watching educational video content? (Please write 0 if it does not apply) ||| Inform: How many people have received educational health & hygiene messaging through your brands e.g. by watching educational video content? (Please write 0 if it does not apply) as of May 2025 ||| Inform: How many people have received educational health & hygiene messaging through your brands e.g. by watching educational video content? (Please write 0 if it does not apply) as of October 2024
health_hygiene_engaged,5,50,"2. Engage: How many people have been directly engaged in a two-way interaction by your organisation e.g. actively participating in a training or workshop on handwashing as of May 2025 ||| 2. Engage: How many people have been directly engaged in a two-way interaction by your organisation e.g. actively participating in a training or workshop on handwashing as of May 2025? ||| 2. Engage: How many people have been directly engaged in a two-way interaction by your organisation e.g. actively participating in a training or workshop on handwashing as of October 2024 ||| 2. Engage: How many people have been directly engaged in a two-way interaction by your organisation e.g. actively participating in a training or workshop on handwashing. ||| 2. Engage: How many people have been directly engaged in a two-way interaction by your organisation e.g. actively participating in a training,workshop or consultation?"
jobs_created,5,26,Contract jobs (involved in the production of your product / delivery of your service) (Sept 2022) ||| Contract jobs (involved in the production of your product / delivery of your service) till date ||| Full-time jobs (directly employed by you; on your payroll) (Sept 2022) ||| Full-time jobs (directly employed by you; on your payroll) - till date ||| How many part time/ contract jobs does your organisation create? (involved in the production of your product/ delivery of your service?)
health_hygiene_outcomes,4,30,3. Outcomes: Number of people that experience immediate positive outcomes as a result of the programme through knowledge and awareness increase (e.g. they learn how to wash their hands properly) ||| 3. Outcomes: Number of people that experience immediate positive outcomes as a result of the programme through knowledge and awareness increase (e.g. they learn how to wash their hands properly) as of October 2024 ||| 3. Outcomes: Number of people that experience immediate positive outcomes as a result of the programme through knowledge and awareness increase as of May 2025 ||| 3. Outcomes: Number of people that experience immediate positive outcomes as a result of the programme through knowledge and awareness increase as of October 2024
health_hygiene_societal,4,29,"5. Societal Impact: people that experience material positive impact on their health and/or quality of life (e.g. they are ill less often, they now have higher income) ||| 5. Societal Impact: people that experience material positive impact on their health and/or quality of life (e.g. they are ill less often, they now have higher income) as of May 2025 ||| 5. Societal Impact: people that experience material positive impact on their health and/or quality of life (e.g. they are ill less often, they now have higher income) as of October 2024 ||| 5. Societal Impact: people that experience material positive impact on their health and/or quality of life (e.g. they are ill less often, they now have higher income) as of October 2024?"
confidence_rating,3,50,5. Has your level of CONFIDENCE about managing and growing your business changed because of the program? ||| Has your level of CONFIDENCE about managing and growing your business changed because of the program? ||| How confident are you currently about managing and growing your business?
ebitda,3,16,EBITDA (actuals): April - Sept 2022 ||| EBITDA (actuals): May 2023- April 2024 ||| EBITDA (actuals): Okt 2022 - April 2023
net_profit,3,16,Net Profits (actuals): April - Sept 2022 ||| Net Profits (actuals): May 2023-April 2024 ||| Net Profits (actuals): Okt 2022 - April 2023
revenue_actuals,3,16,Total Revenues (actuals): April - Sept 2022 ||| Total Revenues (actuals): May 2023- April 2024 ||| Total Revenues (actuals): Okt 2022 - April 2023
runway_months,3,59,How much runway (in months) do you currently have?  ||| How much runway (in months) do you currently have? i.e Current Cash Balance ÷ Monthly Total Expenses ||| How much runway (in months) do you currently have? i.e Current Cash Balance ÷ Monthly Total Expenses in USD
nps_recommend,3,34,How likely are you to recommend the Aurelia Access Accelerator to your peers? ||| How likely are you to recommend the Aurelia prize to your peers? ||| How likely are you to recommend the Fight For Access Accelerator Program to other WASH entrepreneurs?
pct_women_reached,3,49,What is the percentage of women reached by your organisation (please write 50% if you do not measure this) ||| What percentage of your beneficiaries are women? ||| What percentage of your beneficiaries that are women/youth/underserved? 
monthly_expenses,2,39,What are your average monthly total expenses in the last 6 months? (in USD)  ||| Whats your average monthly total expenses in USD?
livelihoods_improved,2,8,People with improved livelihoods Sept 2022 ||| People with improved livelihoods till date
wash_access_improved,2,8,People with improved access to WASH Sept 2022 ||| People with improved access to WASH till date
valuation,1,5,What is your most recent company valuation?
