Organization,Created,Total Revenues (actuals): April - Sept 2022,Total Revenues (actuals): Okt 2022 - April 2023,EBITDA (actuals): April - Sept 2022,EBITDA (actuals): Okt 2022 - April 2023,Net Profits (actuals): April - Sept 2022,Net Profits (actuals): Okt 2022 - April 2023,Total amount of Equity raised till September 2022,Equity Funders Sept 22,Total amount of Equity raised till date,Equity Funders till date,Total amount of Debt raised till Sept 2022,Debt Funders till Sept 2022,Total amount of Debt raised till date,Debt Funders till date,Total amount of Grants raised till September 2022,Grant Funders till Sept 2022,Total amount of Grants raised till date,Grant Funders till date,Total amount of capital invested by the founding team till Sept 2022,Total amount of capital invested by the founding team till date,What is your current funding requirement?,What was the number of full-time employees by Sept 2022?,What is the current number of full-time employees?,What other operational metrics do you track? How did these KPIs look like in September 2022? ,What other operational metrics do you track? How do these KPIs look like now?,"For the next questions, please indicate actual numbers in respect of people of have been impacted with your work.  Enter NA if a category is not applicable to your work.  If you are unsure of the numbers, please respond with ""TBC"".",Full-time jobs (directly employed by you; on your payroll) (Sept 2022),Full-time jobs (directly employed by you; on your payroll) - till date,Contract jobs (involved in the production of your product / delivery of your service) (Sept 2022),Contract jobs (involved in the production of your product / delivery of your service) till date,Users/Beneficiaries (of your product / service): Sept 2022,Users/Beneficiaries (of your product / service): till date,People with improved livelihoods Sept 2022,People with improved livelihoods till date,People with improved access to WASH Sept 2022,People with improved access to WASH till date,Other? Please specify and highlight Sept 2022 figures and now.
ThriveWater Group,26 April 2023,750000,800000,650000,100000,100000,50000,0,0,0,0,0,0,0,0,1500000,,1500000,same,450000,450000,5000000,7,4,"Product development- TLR8
Product Quality - 85%
Product Certification/ Standards","Sales performance
Customer onboarding experience
Water Saving
Life impacted
Waste Diverted
Unit of Economics 
",,4,3,5,5,20000,25000,12000,16000,12000,16000,
CleanPath Africa,26 April 2023,R0,R0,R0,R0,R0,R0,R0,R0,R0,0,0,R0,R0,R0,R204208.8,R204208.08,R204208.08,2,R0,R0,R5 million,0,1,We did  not have any operational metrics . We are were still testing our product functionality.  So we observed the quality of the product. If customers are satisfied with the product. How many customers are interested in buying the product.,N/A,,0,0,4,4,0,0,0,0,0,0,N/A
PureCircle Innovations,26 April 2023,R26 766 051 ,R29 889 874,R7 366 719 ,R1 536 957,R1 536 957,R1 809 330 ,R4 942 759,"National Innovation Council, Continental Development Bank, NextGen Innovation Hub, Crestview Holdings, SilverOak Group, Stitching PureCircle Innovations, Anchor Point Alliance, Anchor Point Alliance",R4 458 703 ,same,R1 329 296,N/A,R10 ,same,R10 024 251,N/A,N/A,same,N/A,N/A,R 8 000 000 ,113,115,"PureCircle Innovations tracks several operational metrics to monitor and evaluate the effectiveness of their programs and services. Some of these metrics include:
1. Number of beneficiaries served: PureCircle Innovations tracks the number of individuals and communities that have benefited from their programs and services, including job placement, skills development, and entrepreneurial support.
2. Employment outcomes: The organization tracks the number of individuals who have been placed in employment through their programs, as well as the retention rates of these individuals in their jobs.
3. Skills development outcomes: PureCircle Innovations tracks the number of individuals who have completed their skills development programs, as well as their performance in the job market after completing the program.
4. Entrepreneurship outcomes: The organization tracks the number of new businesses that have been started through their entrepreneurial support programs, as well as the success rates of these businesses.
5. Community development outcomes: PureCircle Innovations tracks the impact of their community development programs on the communities they serve, including improvements in education outcomes, health outcomes, and overall well-being.
6. Financial metrics: The organization tracks their financial performance, including revenue, expenses, and fundraising efforts, to ensure that they are operating efficiently and sustainably.
Overall, PureCircle Innovations tracks these and other operational metrics to ensure that they are delivering high-quality programs and services that have a positive impact on the communities they serve, while also operating efficiently and sustainably as a non-profit organization.","PureCircle Innovations tracks several operational metrics to monitor and evaluate the effectiveness of their programs and services. Some of these metrics include:
1. Number of beneficiaries served: PureCircle Innovations tracks the number of individuals and communities that have benefited from their programs and services, including job placement, skills development, and entrepreneurial support.
2. Employment outcomes: The organization tracks the number of individuals who have been placed in employment through their programs, as well as the retention rates of these individuals in their jobs.
3. Skills development outcomes: PureCircle Innovations tracks the number of individuals who have completed their skills development programs, as well as their performance in the job market after completing the program.
4. Entrepreneurship outcomes: The organization tracks the number of new businesses that have been started through their entrepreneurial support programs, as well as the success rates of these businesses.
5. Community development outcomes: PureCircle Innovations tracks the impact of their community development programs on the communities they serve, including improvements in education outcomes, health outcomes, and overall well-being.
6. Financial metrics: The organization tracks their financial performance, including revenue, expenses, and fundraising efforts, to ensure that they are operating efficiently and sustainably.
Overall, PureCircle Innovations tracks these and other operational metrics to ensure that they are delivering high-quality programs and services that have a positive impact on the communities they serve, while also operating efficiently and sustainably as a non-profit organization.",,60,60,120,120,2500,Over 500 000,101 398 annually,Over 500 000,2500 annually ,2500 annually ,"PureCircle Innovations's efforts to improve the Water, Sanitation, and Hygiene (WASH) conditions of Early Childhood Development (ECD) centers in South Africa had the following impacts to name a few:
1. Improved WASH conditions: PureCircle Innovations's efforts to rebuild and refurbish ECD centers and place new toilet systems have contributed to improving the WASH conditions in these centers. This has resulted in a cleaner and healthier environment for the children attending these centers, reducing the risk of illnesses and diseases.
2. Improved hygiene practices: By providing sufficient detergents and soaps, PureCircle Innovations has helped the ECD centers to maintain high levels of hygiene. This has encouraged good hygiene practices among the children attending the centers, promoting their overall health and well-being.
3. Improved nutrition: By providing nutritional value to the food and donating food parcels, PureCircle Innovations has helped to address food insecurity and malnutrition in the communities they serve. This has contributed to improving the health and development of the children attending the ECD centers.
4. Improved skills and knowledge: Through additional training for the practitioners and principals, PureCircle Innovations has helped to build the capacity of the ECD centers, improving the quality of education and care provided to the children attending these centers.
Overall, PureCircle Innovations's efforts to improve the WASH conditions of ECD centers have had a significant positive impact on the health, education, and well-being of the children attending these centers, as well as their families and communities."
FreshStart Enterprises,29 April 2023,"4,334,387.67","7,498,870.81","590,606.63","4,598,655.56","42,5236.32","3,311,031.00",1,0,"2,000,000",same,0,0,0,0,"1,200,000",2,"3,000,000",4,"120,000",same,"5,000,000",8,16,Number of kiosks operating: 5		,Number of kiosks operating: 12,,8,16,12,18,120000,150000,60,90,120000,150000,
EverGreen Access,3 May 2023,2013399,1537013,192154,-215314,192154,-215314,100,"EverGreen Access Technologies, Sipho Radebe, Lindiwe Khumalo",100,Same,0,None,0,Same,2302968,"Meridian Trust Foundation, Halcyon Foundation, PanAfrica Development Agency, BlueSky Beverages, Metro Water Partnership",2302968,Same,6467451,"6467451 (Excl. ""salary sacrafices"" in terms of Meridian Trust Foundation contract)",Eur 1171965,4,4,"Targets: FMEA completion, first 10 units, next 100 units for Meridian Trust Foundation, progress on proposals for 1600 units. ",We are on track with FMEA tests.,,4,4,87,95,20,Sebokeng field trials (VUT),TBC,TBC,TBC,TBC,Our current focus is on FMEA testing and gaining traction trough new projects.
